Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2018-12-20,38.239253997802734,39.94656,41.311275,40.968796,40.310463,40.312447,40.00593,35.582203
2018-12-21,36.75191116333008,39.190163,41.12888,40.61645,39.977364,40.041008,39.700638,35.478737
2018-12-24,35.800994873046875,38.09934,40.91642,40.15903,39.542633,39.70011,39.30556,35.347794
2018-12-26,38.3221549987793,36.89901,40.68441,39.61029,39.019653,39.297768,38.83197,35.184807
2018-12-27,38.073455810546875,36.670467,40.404602,39.181133,38.61296,38.9476,38.4554,35.01734
2018-12-28,38.092960357666016,37.167183,40.10082,38.833355,38.28669,38.628193,38.143265,34.861557
2018-12-31,38.46113967895508,37.84894,39.754112,38.55833,38.02899,38.340385,37.888264,34.714718
2019-01-02,38.50502395629883,38.428772,39.418156,38.368763,37.851902,38.10851,37.70472,34.588284
2019-01-03,34.669639587402344,38.742355,39.1011,38.24589,37.73711,37.9261,37.578297,34.48418
2019-01-04,36.149662017822266,37.739185,38.766273,37.948746,37.449146,37.64536,37.305546,34.35971
2019-01-07,36.0692024230957,36.575695,38.47879,37.65471,37.16246,37.38672,37.038864,34.227165
2019-01-08,36.75679397583008,35.8264,38.202,37.36913,36.886093,37.132355,36.78021,34.096355
2019-01-09,37.380985260009766,35.76421,37.955772,37.146313,36.67303,36.918217,36.57533,33.976807
2019-01-10,37.500465393066406,36.301304,37.709003,37.009293,36.544533,36.75211,36.44242,33.87624
2019-01-11,37.13228988647461,37.023884,37.480602,36.94111,36.482624,36.632076,36.368435,33.798653
2019-01-14,36.57392120361328,37.457336,37.26925,36.8988,36.443882,36.536427,36.31774,33.73764
2019-01-15,37.322471618652344,37.37919,37.07097,36.843395,36.38988,36.442966,36.257736,33.683937
2019-01-16,37.77842330932617,37.22273,36.922455,36.828625,36.37486,36.390915,36.23557,33.646854
2019-01-17,38.00273895263672,37.263348,36.80387,36.864017,36.40898,36.37805,36.258213,33.629795
2019-01-18,38.236812591552734,37.491756,36.70062,36.940495,36.482655,36.39604,36.317245,33.6309
