Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-31,6.556514317295265,6.563282328046603,6.477453289165977,6.482682704925537,352410800,0.0,0.0
2010-01-04,6.565743211887673,6.598659534628573,6.533442162870159,6.583585739135742,493729600,0.0,0.0
2010-01-05,6.601735852586286,6.632191078305154,6.560205289890394,6.594967842102051,601904800,0.0,0.0
2010-01-06,6.594967263568732,6.621115981961143,6.483297564755475,6.490065574645996,552160000,0.0,0.0
2010-01-07,6.514060494874487,6.521751415287577,6.431000197333366,6.478067398071289,477131200,0.0,0.0
2010-01-08,6.469454053448362,6.521751491407649,6.431308730674464,6.5211358070373535,447610800,0.0,0.0
2010-01-11,6.546361534642068,6.552514270968303,6.412542805386939,6.46360969543457,462229600,0.0,0.0
2010-01-12,6.435308040089783,6.453151389888275,6.350095088575301,6.390086650848389,594459600,0.0,0.0
2010-01-13,6.394700635601075,6.488834625459165,6.278724021245727,6.480220794677734,605892000,0.0,0.0
2010-01-14,6.463609675913061,6.474376553721393,6.430077673766413,6.442690372467041,432894000,0.0,0.0
2010-01-15,6.488834290777742,6.509445956227343,6.3331737676839275,6.335019588470459,594067600,0.0,0.0
2010-01-19,6.408851237266591,6.619885166921749,6.375320056093321,6.615270614624023,730007600,0.0,0.0
2010-01-20,6.61127197406733,6.630960321707821,6.444844545766941,6.51344633102417,612152800,0.0,0.0
2010-01-21,6.524213485262859,6.562051587162295,6.374397208327092,6.400853157043457,608154400,0.0,0.0
2010-01-22,6.361170171215935,6.3833192056903245,6.065230467389934,6.083380222320557,881767600,0.0,0.0
2010-01-25,6.229811112131924,6.297181526318546,6.158441008302505,6.2470383644104,1065699600,0.0,0.0
2010-01-26,6.335636692672776,6.574357577215914,6.2319655262549345,6.335329055786133,1867110000,0.0,0.0
2010-01-27,6.363322379442467,6.478068048414832,6.13813713590124,6.395008563995361,1722568400,0.0,0.0
2010-01-28,6.30425984381968,6.321794327349517,6.112606143947525,6.13075590133667,1173502400,0.0,0.0
2010-01-29,6.18581934257998,6.220273841936289,5.852656088897949,5.908337116241455,1245952400,0.0,0.0
2010-02-01,5.9178749953668754,6.02954471608151,5.884958671358241,5.990475654602051,749876400,0.0,0.0
2010-02-02,6.026777109226727,6.039389811806602,5.948946613917096,6.025238513946533,698342400,0.0,0.0
2010-02-03,6.004010945316405,6.1587489985938015,5.980938591764464,6.128908634185791,615328000,0.0,0.0
2010-02-04,6.052000925333824,6.102452547290783,5.893264417980863,5.908030986785889,757652000,0.0,0.0
2010-02-05,5.925874000021968,6.029545169826153,5.871115453871131,6.012932777404785,850306800,0.0,0.0
2010-02-08,6.020007411287642,6.0873782327898445,5.968017609517644,5.971709251403809,478270800,0.0,0.0
2010-02-09,6.0424632280821475,6.075687178924454,5.991089117915801,6.035387992858887,632886800,0.0,0.0
2010-02-10,6.026158179622585,6.04800080068949,5.976015029797256,6.002470970153809,370361600,0.0,0.0
2010-02-11,5.995089966072308,6.14490583160743,5.969864154188795,6.1116814613342285,550345600,0.0,0.0
2010-02-12,6.094454277378721,6.2030480369502605,6.014163109355168,6.1642866134643555,655468800,0.0,0.0
2010-02-16,6.2122770183348965,6.266112239938603,6.199356680154447,6.257191181182861,543737600,0.0,0.0
2010-02-17,6.28149222500248,6.285183866697286,6.179051221621869,6.231041431427002,436396800,0.0,0.0
2010-02-18,6.202738718233121,6.272263818540289,6.180897325332735,6.242731094360352,422825200,0.0,0.0
2010-02-19,6.209814511482183,6.251036608955621,6.186741752342158,6.2039690017700195,415469600,0.0,0.0
2010-02-22,6.2245808666578055,6.229502644702504,6.127677328805373,6.165515422821045,390563600,0.0,0.0
2010-02-23,6.152596525604106,6.193511407894004,6.0206235940856185,6.062153339385986,575094800,0.0,0.0
2010-02-24,6.0981456769465465,6.196895052917347,6.08614783970283,6.172900199890137,460566400,0.0,0.0
2010-02-25,6.071998753445306,6.240579679782912,6.056924954963206,6.214123725891113,665126000,0.0,0.0
2010-02-26,6.225811642713896,6.311640264640549,6.2141218539030145,6.294720649719238,507460800,0.0,0.0
2010-03-01,6.329483600633366,6.444844962286049,6.32025490528082,6.429156303405762,550093600,0.0,0.0
2010-03-02,6.458071622627154,6.485758524510358,6.390700804855099,6.4248480796813965,566546400,0.0,0.0
2010-03-03,6.4276163284135235,6.456225729667541,6.396853469535863,6.439613342285156,372052800,0.0,0.0
2010-03-04,6.438075736181298,6.488526527106518,6.418078933988178,6.4820661544799805,366041200,0.0,0.0
2010-03-05,6.612194259230201,6.758626090825129,6.602657518388829,6.735553741455078,899620400,0.0,0.0
2010-03-08,6.768163812157203,6.770624496343641,6.71402095618318,6.739554405212402,429889600,0.0,0.0
2010-03-09,6.71586653970059,6.921670666053447,6.702946202575999,6.86076021194458,920259200,0.0,0.0
2010-03-10,6.885676534687112,6.936435369704622,6.866295828846971,6.916746616363525,596218000,0.0,0.0
2010-03-11,6.888138619431177,6.937050819396973,6.869988047334638,6.937050819396973,405700400,0.0,0.0
