Date;^IRX;^FVX;^TNX;^TYX
2010-01-04;0.054999999701976776;2.6519999504089355;3.8410000801086426;4.659999847412109
2010-01-05;0.05999999865889549;2.558000087738037;3.755000114440918;4.5929999351501465
2010-01-06;0.04500000178813934;2.572999954223633;3.808000087738037;4.671000003814697
2010-01-07;0.04500000178813934;2.5999999046325684;3.822000026702881;4.689000129699707
2010-01-08;0.03999999910593033;2.565999984741211;3.808000087738037;4.695000171661377
2010-01-09;;;;
2010-01-10;;;;
2010-01-11;0.02500000037252903;2.555999994277954;3.818000078201294;4.729000091552734
2010-01-12;0.03999999910593033;2.4820001125335693;3.7190001010894775;4.623000144958496
2010-01-13;0.05000000074505806;2.5320000648498535;3.7829999923706055;4.706999778747559
2010-01-14;0.04500000178813934;2.484999895095825;3.7339999675750732;4.624000072479248
2010-01-15;0.054999999701976776;2.4189999103546143;3.6760001182556152;4.574999809265137
2010-01-16;;;;
2010-01-17;;;;
2010-01-18;;;;
2010-01-19;0.05000000074505806;2.4560000896453857;3.7070000171661377;4.5980000495910645
2010-01-20;0.05000000074505806;2.4210000038146973;3.6589999198913574;4.543000221252441
2010-01-21;0.03999999910593033;2.361999988555908;3.6110000610351562;4.50600004196167
2010-01-22;0.04500000178813934;2.3399999141693115;3.5980000495910645;4.510000228881836
2010-01-23;;;;
2010-01-24;;;;
2010-01-25;0.04500000178813934;2.3610000610351562;3.630000114440918;4.552999973297119
2010-01-26;0.06499999761581421;2.3529999256134033;3.630000114440918;4.565999984741211
2010-01-27;0.07000000029802322;2.382999897003174;3.6440000534057617;4.552999973297119
2010-01-28;0.07000000029802322;2.4089999198913574;3.6579999923706055;4.568999767303467
2010-01-29;0.07000000029802322;2.3480000495910645;3.6089999675750732;4.510000228881836
2010-01-30;;;;
2010-01-31;;;;
2010-02-01;0.08500000089406967;2.375;3.6540000438690186;4.568999767303467
2010-02-02;0.09000000357627869;2.3570001125335693;3.634999990463257;4.550000190734863
2010-02-03;0.09000000357627869;2.4019999504089355;3.703000068664551;4.631999969482422
2010-02-04;0.08500000089406967;2.305000066757202;3.609999895095825;4.545000076293945
2010-02-05;0.08500000089406967;2.2149999141693115;3.5460000038146973;4.493000030517578
2010-02-06;;;;
2010-02-07;;;;
2010-02-08;0.09000000357627869;2.263000011444092;3.5920000076293945;4.521999835968018
2010-02-09;0.10000000149011612;2.306999921798706;3.632999897003174;4.567999839782715
2010-02-10;0.10000000149011612;2.36899995803833;3.694000005722046;4.636000156402588
2010-02-11;0.0949999988079071;2.374000072479248;3.7330000400543213;4.678999900817871
2010-02-12;0.09000000357627869;2.3340001106262207;3.693000078201294;4.6570000648498535
2010-02-13;;;;
2010-02-14;;;;
2010-02-15;;;;
2010-02-16;0.08500000089406967;2.299999952316284;3.6640000343322754;4.638999938964844
2010-02-17;0.09000000357627869;2.388000011444092;3.742000102996826;4.714000225067139
2010-02-18;0.08500000089406967;2.444000005722046;3.802999973297119;4.751999855041504
2010-02-19;0.0949999988079071;2.4630000591278076;3.7820000648498535;4.702000141143799
2010-02-20;;;;
2010-02-21;;;;
2010-02-22;0.08500000089406967;2.447999954223633;3.7990000247955322;4.730999946594238
2010-02-23;0.11500000208616257;2.3529999256134033;3.690999984741211;4.631999969482422
2010-02-24;0.10999999940395355;2.359999895095825;3.694999933242798;4.633999824523926
2010-02-25;0.11500000208616257;2.3380000591278076;3.6419999599456787;4.581999778747559
2010-02-26;0.11500000208616257;2.2839999198913574;3.5950000286102295;4.5289998054504395
2010-02-27;;;;
2010-02-28;;;;
2010-03-01;0.11999999731779099;2.2829999923706055;3.6059999465942383;4.557000160217285
2010-03-02;0.125;2.2730000019073486;3.614000082015991;4.568999767303467
2010-03-03;0.13500000536441803;2.2699999809265137;3.625;4.585999965667725
2010-03-04;0.13500000536441803;2.2750000953674316;3.6059999465942383;4.556000232696533
2010-03-05;0.14499999582767487;2.3429999351501465;3.681999921798706;4.638999938964844
2010-03-06;;;;
2010-03-07;;;;
2010-03-08;0.14499999582767487;2.3550000190734863;3.7079999446868896;4.671999931335449
2010-03-09;0.15000000596046448;2.3380000591278076;3.7009999752044678;4.677000045776367
2010-03-10;0.14499999582767487;2.378000020980835;3.7200000286102295;4.689000129699707
2010-03-11;0.14499999582767487;2.4100000858306885;3.7200000286102295;4.658999919891357
2010-03-12;0.14000000059604645;2.4170000553131104;3.7100000381469727;4.632999897003174
2010-03-13;;;;
2010-03-14;;;;
2010-03-15;0.14499999582767487;2.4049999713897705;3.7039999961853027;4.636000156402588
2010-03-16;0.1550000011920929;2.3480000495910645;3.6530001163482666;4.5929999351501465
2010-03-17;0.15000000596046448;2.365999937057495;3.6419999599456787;4.572000026702881
2010-03-18;0.14499999582767487;2.4140000343322754;3.671999931335449;4.589000225067139
2010-03-19;0.14499999582767487;2.4509999752044678;3.687000036239624;4.578999996185303
2010-03-20;;;;
2010-03-21;;;;
2010-03-22;0.14000000059604645;2.4140000343322754;3.6630001068115234;4.568999767303467
2010-03-23;0.12999999523162842;2.4119999408721924;3.680000066757202;4.5980000495910645
2010-03-24;0.13500000536441803;2.569999933242798;3.8289999961853027;4.7210001945495605
2010-03-25;0.12999999523162842;2.6610000133514404;3.9010000228881836;4.7769999504089355
2010-03-26;0.12999999523162842;2.6040000915527344;3.8550000190734863;4.751999855041504
2010-03-27;;;;
2010-03-28;;;;
2010-03-29;0.125;2.5989999771118164;3.864000082015991;4.763000011444092
2010-03-30;0.15000000596046448;2.6040000915527344;3.868000030517578;4.756999969482422
2010-03-31;0.15000000596046448;2.559999942779541;3.8329999446868896;4.715000152587891
2010-04-01;0.15000000596046448;2.5810000896453857;3.8589999675750732;4.728000164031982
2010-04-02;;;;
2010-04-03;;;;
2010-04-04;;;;
2010-04-05;0.1599999964237213;2.740999937057495;3.99399995803833;4.8429999351501465
2010-04-06;0.16500000655651093;2.7130000591278076;3.9679999351501465;4.843999862670898
2010-04-07;0.1599999964237213;2.6110000610351562;3.86299991607666;4.74399995803833
2010-04-08;0.1550000011920929;2.635999917984009;3.8959999084472656;4.761000156402588
2010-04-09;0.15000000596046448;2.638000011444092;3.888000011444092;4.745999813079834
2010-04-10;;;;
2010-04-11;;;;
2010-04-12;0.13500000536441803;2.5929999351501465;3.8459999561309814;4.697999954223633
2010-04-13;0.15000000596046448;2.563999891281128;3.811000108718872;4.669000148773193
2010-04-14;0.1550000011920929;2.5959999561309814;3.8550000190734863;4.7220001220703125
2010-04-15;0.15000000596046448;2.562000036239624;3.8480000495910645;4.728000164031982
2010-04-16;0.15000000596046448;2.4709999561309814;3.7699999809265137;4.671000003814697
2010-04-17;;;;
2010-04-18;;;;
2010-04-19;0.15000000596046448;2.5230000019073486;3.806999921798706;4.699999809265137
2010-04-20;0.14499999582767487;2.5439999103546143;3.805000066757202;4.677999973297119
2010-04-21;0.14499999582767487;2.494999885559082;3.73799991607666;4.609000205993652
2010-04-22;0.15000000596046448;2.5399999618530273;3.7720000743865967;4.636000156402588
2010-04-23;0.1550000011920929;2.5929999351501465;3.816999912261963;4.668000221252441
2010-04-24;;;;
2010-04-25;;;;
2010-04-26;0.15000000596046448;2.575000047683716;3.815000057220459;4.672999858856201
2010-04-27;0.14499999582767487;2.434000015258789;3.690000057220459;4.560999870300293
2010-04-28;0.1550000011920929;2.5169999599456787;3.7730000019073486;4.638000011444092
2010-04-29;0.1599999964237213;2.486999988555908;3.7279999256134033;4.591000080108643
