Date;^DJI;^DJT;^DJU;^NDX;^NYA;^MID;^OEX;^IXCO;^SOX;^XAU;^XOI;^RUT;^GSPC;^RUA;^IXIC
2010-01-04;10583.9599609375;4130.81982421875;399.489990234375;1886.699951171875;7326.740234375;738.1500244140625;522.72998046875;1187.989990234375;365.9029235839844;174.02000427246094;1100.510009765625;640.0999755859375;1132.989990234375;664.0499877929688;2308.419921875
2010-01-05;10572.01953125;4172.64013671875;395.3699951171875;1888.4300537109375;7354.8701171875;740.1099853515625;524.5999755859375;1188.52001953125;366.2427978515625;176.02000427246094;1106.97998046875;638.489990234375;1136.52001953125;665.969970703125;2308.7099609375
2010-01-06;10573.6796875;4147.2998046875;398.3599853515625;1878.4200439453125;7377.7001953125;744.010009765625;524.3099975585938;1178.300048828125;366.1628112792969;180.75999450683594;1113.4300537109375;637.9500122070312;1137.1400146484375;666.5499877929688;2301.090087890625
2010-01-07;10606.8603515625;4135.75;396.6099853515625;1876.719970703125;7393.93017578125;747.77001953125;526.3400268554688;1168.1700439453125;362.124755859375;179.2100067138672;1112.530029296875;641.969970703125;1141.68994140625;669.3400268554688;2300.050048828125
2010-01-08;10618.1904296875;4222.259765625;396.30999755859375;1892.5899658203125;7425.35009765625;752.0800170898438;527.760009765625;1178.510009765625;367.5021667480469;181.74000549316406;1116.18994140625;644.5599975585938;1144.97998046875;671.489990234375;2317.169921875
2010-01-09;;;;;;;;;;;;;;;
2010-01-10;;;;;;;;;;;;;;;
2010-01-11;10663.990234375;4262.85986328125;400.4700012207031;1886.239990234375;7449.0498046875;751.530029296875;528.6099853515625;1173.280029296875;366.44268798828125;182.6199951171875;1122.030029296875;643.989990234375;1146.97998046875;672.3800048828125;2312.409912109375
2010-01-12;10627.259765625;4203.52978515625;398.2799987792969;1861.7900390625;7370.4501953125;742.030029296875;524.2899780273438;1157.6500244140625;353.2790832519531;175.9199981689453;1099.1600341796875;635.5;1136.219970703125;665.5399780273438;2282.31005859375
2010-01-13;10680.76953125;4226.740234375;401.5899963378906;1886.1300048828125;7430.14013671875;751.5599975585938;527.9299926757812;1170.9100341796875;358.91632080078125;177.9199981689453;1100.9100341796875;643.5599975585938;1145.6800537109375;671.5399780273438;2307.89990234375
2010-01-14;10710.5498046875;4230.91015625;399.54998779296875;1886.52001953125;7448.52001953125;753.02001953125;529.5999755859375;1180.0999755859375;356.787353515625;176.39999389648438;1101.4599609375;646.4299926757812;1148.4599609375;673.1500244140625;2316.739990234375
2010-01-15;10609.650390625;4180.7900390625;398.07000732421875;1864.52001953125;7356.7900390625;743.1099853515625;524.1099853515625;1162.050048828125;344.5033264160156;172.77999877929688;1091.800048828125;637.9600219726562;1136.030029296875;665.6699829101562;2287.989990234375
2010-01-16;;;;;;;;;;;;;;;
2010-01-17;;;;;;;;;;;;;;;
2010-01-18;;;;;;;;;;;;;;;
2010-01-19;10725.4296875;4201.7001953125;403.8800048828125;1895.47998046875;7443.68017578125;752.77001953125;530.2100219726562;1180.2099609375;350.6703186035156;173.89999389648438;1104.27001953125;649.1500244140625;1150.22998046875;674.1900024414062;2320.39990234375
2010-01-20;10603.150390625;4148.52978515625;399.55999755859375;1867.949951171875;7329.830078125;746.75;524.72998046875;1166.0899658203125;349.63079833984375;167.2899932861328;1085.4200439453125;639.6099853515625;1138.0400390625;667.02001953125;2291.25
2010-01-21;10389.8798828125;4093.820068359375;393.30999755859375;1850.5699462890625;7174.4599609375;736.9199829101562;514.1300048828125;1154.1400146484375;347.7417297363281;159.49000549316406;1059.469970703125;628.3599853515625;1116.47998046875;654.9099731445312;2265.699951171875
2010-01-22;10172.98046875;4005.080078125;383.989990234375;1794.8199462890625;7030.60986328125;721.6400146484375;502.3500061035156;1108.050048828125;329.33062744140625;158.77999877929688;1037.780029296875;617.1199951171875;1091.760009765625;640.75;2205.2900390625
2010-01-23;;;;;;;;;;;;;;;
2010-01-24;;;;;;;;;;;;;;;
2010-01-25;10196.8603515625;4025.3798828125;386.1400146484375;1802.3900146484375;7073.1298828125;723.22998046875;504.5400085449219;1115.719970703125;334.01837158203125;157.24000549316406;1048.1400146484375;618.1099853515625;1096.780029296875;643.5;2210.800048828125
2010-01-26;10194.2900390625;4014.550048828125;387.6000061035156;1803.8599853515625;7028.31982421875;720.5800170898438;502.6400146484375;1116.469970703125;333.3586730957031;156.0800018310547;1042.6099853515625;612.1599731445312;1092.1700439453125;640.5800170898438;2203.72998046875
2010-01-27;10236.16015625;4034.389892578125;385.45001220703125;1818.9000244140625;7035.60986328125;721.8800048828125;505.5400085449219;1123.3199462890625;337.28680419921875;154.72999572753906;1037.7900390625;618.3800048828125;1097.5;643.6500244140625;2221.409912109375
2010-01-28;10120.4599609375;3940.25;380.6199951171875;1771.0999755859375;6956.990234375;712.4400024414062;499.6700134277344;1097.6099853515625;327.09173583984375;153.4199981689453;1027.0899658203125;607.9299926757812;1084.530029296875;635.5999755859375;2179.0
2010-01-29;10067.330078125;3895.530029296875;378.25;1741.0400390625;6883.77978515625;702.7999877929688;495.0899963378906;1068.5400390625;315.9171447753906;147.92999267578125;1016.780029296875;602.0399780273438;1073.8699951171875;628.989990234375;2147.35009765625
2010-01-30;;;;;;;;;;;;;;;
2010-01-31;;;;;;;;;;;;;;;
2010-02-01;10185.5302734375;3962.239990234375;381.1199951171875;1760.719970703125;7008.22998046875;713.5499877929688;501.3299865722656;1084.010009765625;325.5624694824219;156.1300048828125;1042.260009765625;609.25;1089.18994140625;638.1400146484375;2171.199951171875
